title,current price,original price,rating,reviews,off percentage
"Acer Professional Intel Core i7 13th Gen 1355U with 3year Warranty - (32 GB/1 TB SSD/Windows 11 Pro) TL14-52M Thin and Light Laptop  (14 inch, Sparkling Silver, 1.34 kg, With MS Office)",66990.0,89990.0,4.5,2 Ratings,25% off
"Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH8 Thin and Light Laptop  (14 inch, Storm Grey, 1.35 Kg, With MS Office)",67990.0,111890.0,4.4,504 Ratings,39% off
"HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 A) 15-fa2191TX Gaming Laptop  (15.6 Inch, Performance blue, chrome logo, 2.29 Kg, With MS Office)",69900.0,81201.0,4.3,311 Ratings,13% off
"HP AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) 14-gr1023TU Thin and Light Laptop  (14 Inch, Natural Silver Aluminum, 1.4 Kg, With MS Office)",80700.0,98999.0,4.2,32 Ratings,18% off
"DELL Inspiron Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 16 Plus Laptop  (16 Inch, Ice Blue, 1.90 Kg, With MS Office)",74990.0,101613.0,4.4,44 Ratings,26% off
"Infinix ZEROBOOK 13 Intel Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) ZL513 Thin and Light Laptop  (15.3 inch, Silver, 1.80 Kg, With MS Office)",72490.0,99990.0,4.1,319 Ratings,27% off
"Infinix ZEROBOOK 13 Intel Intel Core i9 13th Gen 13900H - (32 GB/1 TB SSD/Windows 11 Home) ZL513 Thin and Light Laptop  (15.6 inch, Silver, 1.80 Kg, With MS Office)",49999.0,149900.0,4,"1,396 Ratings",66% off
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) X1407QA-LY038WS Thin and Light Laptop  (14 inch, Quiet Blue, 1.49 Kg, With MS Office)",49999.0,81990.0,4.6,209 Ratings,39% off
"Lenovo Yoga 7 13th Gen 1340P WUXGA OLED Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 14IRL8 2 in 1 Laptop  (14 Inch, Storm Grey, 1.49 Kg, With MS Office)",74990.0,111690.0,4.3,38 Ratings,32% off
"Acer NITRO LITE 16 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) NL16-71G-54MY / NL16-71G Gaming Laptop  (16 Inch, White, 1.95 Kg)",64990.0,102799.0,4,43 Ratings,36% off
"ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) TP3402VAO-LZ612WS 2 in 1 Laptop  (14 inch, Transparent Silver, 1.65 kg, With MS Office)",57990.0,86990.0,4.5,489 Ratings,33% off
"ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60939WS Thin and Light Laptop  (14 inch, Misty Grey, 1.42 Kg, With MS Office)",53990.0,114990.0,4.3,"2,606 Ratings",53% off
"ASUS Gaming V16 (2025) for Creator with Office 2024 + M365 Basic*,AI PC((i5 14th gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050/144 Hz) V3607VU-RP550WS Gaming Laptop  (16 Inch, Matte Black, 1.95 Kg, With MS Office)",76990.0,107990.0,4.3,290 Ratings,28% off
"HP HP OmniBook 7 Aero (Previously Pavilion Aero) AMD Ryzen AI 5 Hexa Core AI 5 340 - (16 GB/512 GB SSD/Windows 11 Home) 13-bg1678AU Thin and Light Laptop  (13.3 Inch, Glacier Silver, 1.0 Kg, With MS Office)",65990.0,96137.0,4.3,24 Ratings,31% off
"Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) LOQ 15IRX9D2 Gaming Laptop  (15.6 Inch, Luna Grey, 2.38 kg, With MS Office)",74990.0,104490.0,4.3,"2,320 Ratings",28% off
"Lenovo Intel Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 Laptop  (15.6 inch, Gray, With MS Office)",78990.0,101999.0,2.3,3 Ratings,22% off
"GIGABYTE G Series Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) G6 MF-H2IN894KH Gaming Laptop  (16 Inch, Black, 2.3 Kg)",75990.0,91400.0,4.5,17 Ratings,16% off
"ASUS TUF Gaming A15 AMD Ryzen 7 Hexa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) FA507NUR-LP082W Gaming Laptop  (15.6 Inch, Mecha Gray, 2.20 Kg)",81990.0,107990.0,4.5,495 Ratings,24% off
"DELL Inspiron 5430 Intel Core i5 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) IN5430JNH1P001ORS1 Thin and Light Laptop  (14 inch, Platinum Silver, With MS Office)",69749.0,99000.0,4,209 Ratings,29% off
"Lenovo Yoga 7 WUXGA-OLED Intel Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) 14IRL8 2 in 1 Laptop  (14 inch, Tidal Teal, 1.49 Kg, With MS Office)",110990.0,163790.0,4.5,80 Ratings,32% off
"HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz) 15-fa2703TX Gaming Laptop  (15.6 inch, Mica Silver, 2.29 Kg, With MS Office)",58990.0,75142.0,4.3,892 Ratings,21% off
"Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin and Light Laptop  (16 Inch, Cloud Grey, 1.89 kg, With MS Office)",74990.0,121790.0,4.2,167 Ratings,38% off
